system_time_utc,UNIQUEID,count,area,tile,date,satname
2016-02-20 00:04:44,OFS_00908,0.0,0.0,56JKN,2016-02-20 00:04:44,S2
2016-02-20 00:04:44,OFS_00645,1476.0,147600.0,56JKN,2016-02-20 00:04:44,S2
2016-02-20 00:04:44,OFS_00842,7178.0,717800.0,56JKN,2016-02-20 00:04:44,S2
2016-02-20 00:04:44,OFS_00908,0.0,0.0,56JKN,2016-02-20 00:04:44,S2
2016-03-14 00:12:09,OFS_00645,366.0,36600.0,56JKN,2016-03-14 00:12:09,S2
2016-03-14 00:12:09,OFS_00840,231.0,23100.0,56JKN,2016-03-14 00:12:09,S2
2016-03-14 00:12:09,OFS_00842,4922.0,492200.0,56JKN,2016-03-14 00:12:09,S2
2016-03-14 00:12:09,OFS_00901,0.0,0.0,56JKN,2016-03-14 00:12:09,S2
2016-03-14 00:12:09,OFS_00908,0.0,0.0,56JKN,2016-03-14 00:12:09,S2
2016-03-14 00:12:09,OFS_00645,366.0,36600.0,56JKN,2016-03-14 00:12:09,S2
2016-03-14 00:12:09,OFS_00840,231.0,23100.0,56JKN,2016-03-14 00:12:09,S2
2016-03-14 00:12:09,OFS_00842,4922.0,492200.0,56JKN,2016-03-14 00:12:09,S2
2016-03-14 00:12:09,OFS_00901,0.0,0.0,56JKN,2016-03-14 00:12:09,S2
2016-03-14 00:12:09,OFS_00908,0.0,0.0,56JKN,2016-03-14 00:12:09,S2
2016-04-10 00:03:53,OFS_00840,225.0,22500.0,56JKN,2016-04-10 00:03:53,S2
2016-04-10 00:03:53,OFS_00840,225.0,22500.0,56JKN,2016-04-10 00:03:53,S2
2016-04-13 00:12:12,OFS_00645,281.0,28100.0,56JKN,2016-04-13 00:12:12,S2
2016-04-13 00:12:12,OFS_00840,130.0,13000.0,56JKN,2016-04-13 00:12:12,S2
2016-04-13 00:12:12,OFS_00842,5322.0,532200.0,56JKN,2016-04-13 00:12:12,S2
2016-04-13 00:12:12,OFS_00901,0.0,0.0,56JKN,2016-04-13 00:12:12,S2
2016-04-13 00:12:12,OFS_00908,0.0,0.0,56JKN,2016-04-13 00:12:12,S2
2016-04-13 00:12:12,OFS_00645,281.0,28100.0,56JKN,2016-04-13 00:12:12,S2
2016-04-13 00:12:12,OFS_00840,130.0,13000.0,56JKN,2016-04-13 00:12:12,S2
2016-04-13 00:12:12,OFS_00842,5322.0,532200.0,56JKN,2016-04-13 00:12:12,S2
2016-04-13 00:12:12,OFS_00901,0.0,0.0,56JKN,2016-04-13 00:12:12,S2
2016-04-13 00:12:12,OFS_00908,0.0,0.0,56JKN,2016-04-13 00:12:12,S2
2016-04-20 00:03:17,OFS_00645,279.0,27900.0,56JKN,2016-04-20 00:03:17,S2
2016-04-20 00:03:17,OFS_00840,108.0,10800.0,56JKN,2016-04-20 00:03:17,S2
2016-04-20 00:03:17,OFS_00842,5008.0,500800.0,56JKN,2016-04-20 00:03:17,S2
2016-04-20 00:03:17,OFS_00908,0.0,0.0,56JKN,2016-04-20 00:03:17,S2
2016-04-20 00:03:17,OFS_00645,279.0,27900.0,56JKN,2016-04-20 00:03:17,S2
2016-04-20 00:03:17,OFS_00840,108.0,10800.0,56JKN,2016-04-20 00:03:17,S2
2016-04-20 00:03:17,OFS_00842,5008.0,500800.0,56JKN,2016-04-20 00:03:17,S2
2016-04-20 00:03:17,OFS_00908,0.0,0.0,56JKN,2016-04-20 00:03:17,S2
2016-05-13 00:12:18,OFS_00645,242.0,24200.0,56JKN,2016-05-13 00:12:18,S2
2016-05-13 00:12:18,OFS_00840,76.0,7600.0,56JKN,2016-05-13 00:12:18,S2
2016-05-13 00:12:18,OFS_00901,0.0,0.0,56JKN,2016-05-13 00:12:18,S2
2016-05-13 00:12:18,OFS_00908,0.0,0.0,56JKN,2016-05-13 00:12:18,S2
2016-05-13 00:12:18,OFS_00645,242.0,24200.0,56JKN,2016-05-13 00:12:18,S2
2016-05-13 00:12:18,OFS_00840,76.0,7600.0,56JKN,2016-05-13 00:12:18,S2
2016-05-13 00:12:18,OFS_00901,0.0,0.0,56JKN,2016-05-13 00:12:18,S2
2016-05-13 00:12:18,OFS_00908,0.0,0.0,56JKN,2016-05-13 00:12:18,S2
2016-05-20 00:02:24,OFS_00645,239.0,23900.0,56JKN,2016-05-20 00:02:24,S2
2016-05-20 00:02:24,OFS_00840,75.0,7500.0,56JKN,2016-05-20 00:02:24,S2
2016-05-20 00:02:24,OFS_00842,4468.0,446800.0,56JKN,2016-05-20 00:02:24,S2
2016-05-20 00:02:24,OFS_00901,0.0,0.0,56JKN,2016-05-20 00:02:24,S2
2016-05-20 00:02:24,OFS_00908,0.0,0.0,56JKN,2016-05-20 00:02:24,S2
2016-05-20 00:02:24,OFS_00645,239.0,23900.0,56JKN,2016-05-20 00:02:24,S2
2016-05-20 00:02:24,OFS_00840,75.0,7500.0,56JKN,2016-05-20 00:02:24,S2
2016-05-20 00:02:24,OFS_00901,0.0,0.0,56JKN,2016-05-20 00:02:24,S2
2016-05-20 00:02:24,OFS_00908,0.0,0.0,56JKN,2016-05-20 00:02:24,S2
2016-05-30 00:03:50,OFS_00645,239.0,23900.0,56JKN,2016-05-30 00:03:50,S2
2016-05-30 00:03:50,OFS_00840,127.0,12700.0,56JKN,2016-05-30 00:03:50,S2
2016-05-30 00:03:50,OFS_00908,0.0,0.0,56JKN,2016-05-30 00:03:50,S2
2016-05-30 00:03:50,OFS_00645,239.0,23900.0,56JKN,2016-05-30 00:03:50,S2
2016-05-30 00:03:50,OFS_00840,127.0,12700.0,56JKN,2016-05-30 00:03:50,S2
2016-05-30 00:03:50,OFS_00908,0.0,0.0,56JKN,2016-05-30 00:03:50,S2
2016-06-02 00:12:18,OFS_00901,0.0,0.0,56JKN,2016-06-02 00:12:18,S2
2016-06-02 00:12:18,OFS_00901,0.0,0.0,56JKN,2016-06-02 00:12:18,S2
2016-06-29 00:02:19,OFS_00842,7272.0,727200.0,56JKN,2016-06-29 00:02:19,S2
2016-06-29 00:02:19,OFS_00901,46.0,4600.0,56JKN,2016-06-29 00:02:19,S2
2016-06-29 00:02:19,OFS_00908,0.0,0.0,56JKN,2016-06-29 00:02:19,S2
2016-06-29 00:02:19,OFS_00842,7272.0,727200.0,56JKN,2016-06-29 00:02:19,S2
2016-06-29 00:02:19,OFS_00901,46.0,4600.0,56JKN,2016-06-29 00:02:19,S2
2016-06-29 00:02:19,OFS_00908,0.0,0.0,56JKN,2016-06-29 00:02:19,S2
2016-07-09 00:03:19,OFS_00842,7568.0,756800.0,56JKN,2016-07-09 00:03:19,S2
2016-07-09 00:03:19,OFS_00901,9.0,900.0,56JKN,2016-07-09 00:03:19,S2
2016-07-09 00:03:19,OFS_00842,7568.0,756800.0,56JKN,2016-07-09 00:03:19,S2
2016-07-09 00:03:19,OFS_00901,9.0,900.0,56JKN,2016-07-09 00:03:19,S2
2016-07-19 00:03:20,OFS_00901,0.0,0.0,56JKN,2016-07-19 00:03:20,S2
